Location,Date,Type,Longitude,Latitude
Mendocino County,06/02/2021,other,-123.1376496554634,39.33424937142512
Mendocino County,06/02/2021,other,-123.1365201693113,39.33423050910574
Mendocino County,06/02/2021,other,-123.1377276040235,39.33332694095834
Mendocino County,06/02/2021,other,-123.1301729001309,39.33567694768015
Mendocino County,06/02/2021,other,-123.1310065755569,39.33501052803435
Mendocino County,06/02/2021,other,-123.1301012433696,39.33513938274879
Mendocino County,06/02/2021,other,-123.1307557086802,39.33426295544933
Mendocino County,06/02/2021,other,-123.1334406440297,39.33551836846368
Mendocino County,06/02/2021,other,-123.13197815042,39.33466033105859
Mendocino County,06/02/2021,other,-123.1249948858741,39.32969802339809
Mendocino County,06/02/2021,other,-123.1249563823928,39.33109974568328
Mendocino County,06/02/2021,other,-123.1244055995176,39.33058762179573
Mendocino County,06/02/2021,other,-123.1239507375311,39.33134575077034
Mendocino County,06/02/2021,other,-123.1237537313148,39.32968895420086
Mendocino County,06/02/2021,other,-123.1253632318422,39.32878993635752
Mendocino County,06/02/2021,other,-123.1244925555637,39.32874501377775
Mendocino County,06/02/2021,other,-123.1259876277059,39.3279482408708
Mendocino County,06/02/2021,other,-123.1260543960052,39.32868170715555
Mendocino County,06/02/2021,other,-123.1259518247036,39.33175704184301
